16	0100001010110111
17	01000101100000011
29	11110111110111111011111111110
15	110111100101001
15	110111100101001
15	110111100101001
15	110111100101001
15	110111100101001
29	11110111110111111011111111110
15	110111100101001
15	110111100101001
15	110111100101001
15	110111100101001
15	110111100101001
15	110111100101001
15	110111100101001
15	110111100101001
15	110111100101001
15	110111100101001
15	110111100101001
16	0000000111011110
15	100001101010000
15	100110111010001
15	110001100111101
15	110111100101001
15	011000101001010
18	101111011111110001
17	00100110000011010
19	1100010011111011110
17	00001110010001110
15	111100010101001
15	110111100101001
17	11010011000110110
15	111000001100011
17	11000011101101111
15	101010011001000
16	0011011001101111
17	01100000110011000
15	110111100101001
15	110111100101001
15	110001100111000
15	100101010011111
16	0100010111011110
15	000010001011101
15	110111100101001
17	10010110000011000
20	11001000000010100111
17	01001000110011111
15	100101010011111
15	110111100101001
15	001110000110111
19	0001011001011110011
17	00101110111001010
17	00101100011100001
19	0110011100111101011
19	0111001001100111111
15	101100000001001
21	110011100011110000010
19	1100000101000101110
19	0011100101100110000
19	0001000000001101110
18	001000000000101011
17	01010101101101011
15	101011100011010
18	110000111000101111
19	1011011110011010001
17	00001001000111010
16	1010100111000001
20	01001100101110110110
15	110010000000110
25	0000011100011111001000110
16	0001111010110001
17	01001111000011011
17	00110100100101111
15	000111011100001
15	111010000110110
22	1001011101011111011001
15	001001111011110
16	1000100110101000
15	011010011011100
17	00011111001101110
20	10010100111101100001
13	1110001001000
15	001101000011010
16	0011111101111010
15	011101100110000
17	00011110100000001
14	00100001110010
16	1101010110100100
19	1011000110111101001
16	1111110001111010
19	1000110001000111111
17	00111110111110110
21	101011100101111000100
17	01001011010111011
15	001011010000100
17	10000111001111010
15	001000101111001
21	000100111110110011110
16	0000101100010001
18	000101001100100011
15	110000111001010
16	0000011110010001
15	000101010011011
17	10001000011001111
23	01001100010001110001111
15	001101100001010
15	111000111000011
17	00110111000111010
16	1101110010100100
17	10100000100011100
17	00110000110110011
19	0001000011110000011
16	1010111011011100
17	01010010000110100
13	1001111010000
16	0100001111111010
17	00010110001111010
17	00000111011100011
17	10100100111000011
20	01110011110010000110
18	010100110101110001
21	011010100110110111010
21	100101111101010111000
14	10100000101011
17	10010101011111000
17	10010011110000110
17	11010000000100011
15	110110100011101
17	11011100110011110
16	0011001011110100
14	11011000001010
18	111000010000111001
16	0010010000011110
19	1000010000110110000
20	00110000001000111011
17	00111001101101111
19	0101111010001010011
19	0110110011100100110
22	0100111001111001111110
17	10110000010111010
18	011000001001110001
23	01111101011001111001110
15	011100110000110
20	01001110110001101001
19	0101001100111101110
20	11100011101111011111
17	10110101101101000
18	111011110110100001
17	10111111111000001
17	00001001100100011
16	0111001101101010
